address,created,id_user,active,Property_type,Price,Bedrooms,Bathrooms,Car_spaces,new_or_established,Swimming_pool,Garage,Balcony,Outdoor_area,Undercover_parking,Shed,Fully_fenced,Outdoor_spa,Tennis_court,Ensuite,DishWasher,Study,Built_in_robes,Alarm_system,Broadband,Floorboards,Gym,Rumpus_room,Workshop,Air_conditioning,Solar_panels,Heating,High_energy_efficiency,Water_tank,Solar_hot_water,user_id,Updated,plan
"891 Lawrence Corner
Madelinestad, QLD, 2951",2019-06-09 16:22:09,560eac15-f79c-4ca0-8142-997b2e2c9101,1,Land,965000,12,13,3,New,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,1,2019-06-09 16:22:09,
"6 Brian Close
New Danielleton, NT, 2624",2019-06-09 16:22:09,e078e55d-4043-492a-b2b1-fd66d46f1887,1,House,400000,9,14,3,Established,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,2019-06-09 16:22:09,
"354 /
 8 Elizabeth Centreway
Micheleview, VIC, 5280",2019-06-09 16:22:09,aa631f98-d454-4793-9002-e8208f3711af,1,Land,525000,18,12,1,New,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,2019-06-09 16:22:09,
"Unit 62
 360 Rodriguez Block
St. Rubentown, NSW, 2690",2019-06-09 16:22:09,3da9f4bb-60db-4cc4-9d3d-cf5a08167ecd,1,Apartment_Unit,145000,8,10,2,Established,1,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,2019-06-09 16:22:09,
"20 Brown Lane
Shawnshire, NSW, 2617",2019-06-09 16:22:09,55e747bd-bcf0-489e-8a5f-5740f08d5599,1,Land,590000,11,2,1,New,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,0,0,2019-06-09 16:22:09,
"Flat 95
 9 Gregory Cross
North Darlene, ACT, 5062",2019-06-09 16:22:09,30db3fb2-6c92-4bd4-9f15-ba821fdb6e40,1,Apartment_Unit,905000,16,15,3,New,1,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,2019-06-09 16:22:09,
"Flat 15
 6 Blankenship Quad
New Cindy, ACT, 5632",2019-06-09 16:22:09,b5086117-7ffc-4dac-beeb-408d257df373,1,Acreage,660000,10,10,6,New,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,2019-06-09 16:22:09,
"02 Vanessa Terrace
West Rodney, TAS, 2952",2019-06-09 16:22:09,37d5d051-a0d1-49da-86d9-68f79a3172ad,1,Acreage,255000,2,9,1,New,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,2019-06-09 16:22:09,
"4 /
 593 Kent River
Burnshaven, QLD, 0992",2019-06-09 16:22:09,6b8f86d0-ff44-4ff6-85fb-4f20f4a6fb12,1,Apartment_Unit,225000,19,11,4,New,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,0,2019-06-09 16:22:09,
"03 Philip Ramp
East Nicholasport, QLD, 2413",2019-06-09 16:22:09,a185bc55-fd83-4a61-b42f-1421ecbe2921,1,Rural,385000,5,7,3,New,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,2019-06-09 16:22:09,
"7 /
 46 Sabrina Outlook
Cynthiafort, WA, 0288",2019-06-09 16:22:09,475d590c-384b-40a5-be05-f55d72dff3c5,1,House,250000,7,8,2,New,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0,1,2019-06-09 16:22:09,
"Level 1
 34 Joshua Estate
South Travis, QLD, 2510",2019-06-09 16:22:09,1273a74f-b138-457c-963b-12174deea0ff,1,House,385000,3,18,8,Established,1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,1,2019-06-09 16:22:09,
"8 Peggy Rest
St. Gwendolyn, ACT, 2689",2019-06-09 16:22:09,e74b5224-f80c-4772-8bf4-b03215c7f0f9,1,Block Of Units,150000,9,11,2,Established,1,0,0,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,1,2019-06-09 16:22:09,
"3 Ronald Estate
Gregorychester, SA, 2322",2019-06-09 16:22:09,73dfed46-ada5-4d1d-81c3-e4ee961c51f7,1,Block Of Units,480000,9,4,6,New,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,2019-06-09 16:22:09,
"3 Andrea Bend
Bucktown, ACT, 2033",2019-06-09 16:22:09,bedff25f-d426-4980-bf1c-18674fdbc8e7,1,House,735000,7,19,7,New,1,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,2019-06-09 16:22:09,
"81 Whitney Riverway
South Aaronville, WA, 1596",2019-06-09 16:22:09,8bda95a8-922e-4014-a218-e52ccb666559,1,Rural,120000,9,5,4,Established,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,2019-06-09 16:22:09,
"Suite 960
 5 Cruz Steps
Carolview, WA, 2997",2019-06-09 16:22:09,1ac9083c-7aef-41e8-9be9-3d631b423d63,1,Apartment_Unit,315000,10,2,2,Established,1,0,1,1,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,2019-06-09 16:22:09,
"594 /
 273 Katie Line
New Williamton, TAS, 2663",2019-06-09 16:22:09,3451f17c-9acc-4e95-be73-b749c32b8f3b,1,Apartment_Unit,705000,3,10,3,New,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1,2019-06-09 16:22:09,
"Apt. 382
 6 Cantu Roadway
Port Kristinshire, NT, 1588",2019-06-09 16:22:09,eecf0c3e-2a0c-41d1-94bd-bd65b81502ce,1,Block Of Units,470000,9,12,2,Established,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,2019-06-09 16:22:09,
"107 /
 0 Ayala Tarn
Cookside, QLD, 2670",2019-06-09 16:22:09,b76980fe-8f4f-418a-b297-08d84a05e63c,1,Rural,560000,7,10,8,Established,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,1,1,2019-06-09 16:22:09,
"06 David Mall
North Anthony, TAS, 2351",2019-06-09 16:22:09,1dd4e952-5a74-4f95-aca8-2d95cfc7b17d,1,Apartment_Unit,590000,9,4,5,Established,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,2019-06-09 16:22:09,
"41 /
 921 Hunt Park
Williamston, VIC, 0810",2019-06-09 16:22:09,35a26d48-9cf9-464b-993e-c8dfdcfcb99f,1,Villa,65000,4,12,5,New,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,0,1,2019-06-09 16:22:09,
"19 Jason Brae
West Dylan, VIC, 2242",2019-06-09 16:22:09,4476716b-d458-4f82-afe2-1702cf75f74a,1,Apartment_Unit,390000,11,13,6,Established,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,2019-06-09 16:22:09,
"98 Case Estate
East Hannahville, ACT, 2981",2019-06-09 16:22:09,16c637c3-ea9e-4e20-8084-5d397c660845,1,Block Of Units,890000,19,1,1,New,1,1,1,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,2019-06-09 16:22:09,
"00 Nicole Landing
Marvinburgh, NT, 2636",2019-06-09 16:22:09,9ffe7fbc-7c11-4f33-a9d2-83fc8b22454f,1,Townhouse,645000,7,17,8,Established,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,2019-06-09 16:22:09,
"0 /
 85 Wayne Promenade
Port Rebeccatown, TAS, 2347",2019-06-09 16:22:09,c9cb6360-f19f-455a-a40f-a393aa66d5b8,1,Retirement Living,225000,2,11,8,Established,1,1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,1,0,1,0,2019-06-09 16:22:09,
"Apt. 354
 4 Lawrence Laneway
Robertfort, TAS, 4923",2019-06-09 16:22:09,3f7c3fd4-04ca-4a7d-b941-d494ea258da8,1,Rural,895000,18,11,1,New,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1,1,0,1,0,2019-06-09 16:22:09,
"5 /
 78 Cantu Mews
East Amy, WA, 2604",2019-06-09 16:22:09,b84a1804-7964-4e45-9a0f-1346843a5c46,1,Apartment_Unit,735000,6,5,6,New,0,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,2019-06-09 16:22:09,
"915 /
 1 Mcgee Common
West Samantha, TAS, 2363",2019-06-09 16:22:09,d636f962-a750-4373-bec1-012f0f4b7d91,1,Acreage,260000,7,18,7,New,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,2019-06-09 16:22:09,
"3 Adam Boulevard
Lake Joseport, ACT, 0948",2019-06-09 16:22:09,90c132ec-1763-4cff-b468-05041c93b03e,1,Villa,910000,4,5,4,New,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,2019-06-09 16:22:09,
"Unit 23
 192 Eric Nook
Port Krystalbury, QLD, 2492",2019-06-09 16:22:09,d61b8166-db7f-4a1c-a2d4-d76a24fb49b8,1,Apartment_Unit,910000,13,2,1,Established,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,2019-06-09 16:22:09,
"8 /
 94 Courtney Stairs
Rachelville, NSW, 4434",2019-06-09 16:22:09,39612020-b950-4c0d-a6e4-597c497ebbe6,1,Retirement Living,935000,5,8,3,New,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,2019-06-09 16:22:09,
"93 /
 0 Porter Viaduct
East Elizabeth, TAS, 2900",2019-06-09 16:22:09,2746ebd5-d64b-431b-a1ed-ecaa4566709f,1,House,935000,16,13,3,Established,1,0,0,0,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,1,0,1,2019-06-09 16:22:09,
"408 Daniel Towers
Patrickbury, NT, 2643",2019-06-09 16:22:09,99367f71-54c9-43af-b614-4505cce738b1,1,Acreage,155000,19,9,7,New,1,1,0,1,1,1,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,2019-06-09 16:22:09,
"000 Faith Laneway
Phillipsburgh, TAS, 2616",2019-06-09 16:22:09,dd84ed0f-dfab-4d4d-b9ff-a4cabf2d0e39,1,Villa,570000,5,16,6,Established,1,0,0,1,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1,2019-06-09 16:22:09,
"50 Catherine Distributor
Parksstad, ACT, 6882",2019-06-09 16:22:09,93f8598a-5256-425b-b26b-f440effb0cac,1,Retirement Living,770000,11,12,7,Established,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,2019-06-09 16:22:09,
"96 /
 3 Sarah Parade
South Brandonfurt, NT, 2993",2019-06-09 16:22:09,cac4feaf-3861-45a4-bf42-7bc51ede439e,1,Villa,970000,11,9,6,New,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,2019-06-09 16:22:09,
"149 Williams Gully
New Aprilburgh, ACT, 2425",2019-06-09 16:22:09,b9cd1bc6-d1ed-4c97-8d76-dcaed31fae1e,1,Apartment_Unit,200000,17,12,3,Established,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1,2019-06-09 16:22:09,
"Flat 47
 149 Howell Lookout
North Ryanton, WA, 2920",2019-06-09 16:22:09,42a650e6-73e8-4f17-be67-4bdc8d1b8ce7,1,Villa,270000,2,6,1,New,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,2019-06-09 16:22:09,
"29 Carroll Line
Brandonshire, WA, 2605",2019-06-09 16:22:09,69e1c3f9-81c2-4af9-bbc5-33dc21fb88e0,1,Block Of Units,345000,6,6,8,New,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,2019-06-09 16:22:09,
"4 Thomas Brae
Alexanderstad, NSW, 9587",2019-06-09 16:22:09,4d754c51-6c2c-43e3-8b5e-24c3a1cab6e2,1,Villa,395000,3,9,1,Established,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2019-06-09 16:22:09,
"Level 0
 705 Sharp Upper
Brownchester, VIC, 2574",2019-06-09 16:22:09,2c0575f6-9846-459f-8a5f-cd65c2faf194,1,Rural,530000,7,16,9,Established,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,2019-06-09 16:22:09,
"49 Daniel Retreat
Craigshire, NT, 2692",2019-06-09 16:22:09,775af134-5642-4744-8d67-3cb28c2cb4f7,1,Apartment_Unit,455000,11,4,8,New,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,1,2019-06-09 16:22:09,
"436 Garza Strip
West Kevin, WA, 2021",2019-06-09 16:22:09,11cfaee5-f186-4944-a05d-712cf6b40407,1,Retirement Living,415000,16,11,3,New,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,2019-06-09 16:22:09,
"6 Sarah Trailer
East Jessicafurt, ACT, 2203",2019-06-09 16:22:09,c79be6e4-c724-48cb-998b-01cde86db520,1,Acreage,485000,5,4,1,New,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,2019-06-09 16:22:09,
"6 /
 85 Autumn Way
Howardbury, VIC, 2697",2019-06-09 16:22:09,87fbd966-38f2-4876-9c79-9de882375e63,1,Retirement Living,800000,1,11,7,New,0,1,0,1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,0,1,0,2019-06-09 16:22:09,
"Suite 938
 4 Johnson Quadrant
South Eric, NT, 2449",2019-06-09 16:22:09,4d9dda6c-174d-49ec-b1fc-b623914b7386,1,Land,645000,6,3,7,Established,1,1,0,0,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,2019-06-09 16:22:09,
"135 /
 36 Margaret Villas
Lewisshire, VIC, 8746",2019-06-09 16:22:09,35b9df3a-1a4a-4d97-a385-65e7287984b5,1,Acreage,835000,4,2,6,New,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,2019-06-09 16:22:09,
"Apt. 142
 080 Ryan Block
Lake Jake, TAS, 2692",2019-06-09 16:22:09,62c7108a-5fc1-4d12-b6bf-534e1f9ea733,1,Rural,335000,6,11,1,Established,0,0,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,2019-06-09 16:22:09,
"7 Julie Ride
Cruzburgh, NT, 2955",2019-06-09 16:22:09,5cd3f009-6be3-4db8-afb3-39b63fbab192,1,Apartment_Unit,480000,7,14,3,Established,0,0,0,0,1,0,0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,1,2019-06-09 16:22:09,
"531 /
 7 Richard Loop
Molinaland, WA, 3926",2019-06-09 16:22:09,4ab8a7ac-33d1-477d-b11a-9ef9c193a430,1,Land,440000,1,7,4,Established,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,1,2019-06-09 16:22:09,
"68 Allen Centreway
Johnsonview, NT, 2979",2019-06-09 16:22:09,d89dc1f8-b4b0-43b2-bb5f-10688ebcc4ce,1,Block Of Units,410000,8,15,5,New,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,2019-06-09 16:22:09,
"7 Castillo Mew
St. David, SA, 2987",2019-06-09 16:22:09,8529c0ba-9e70-4129-b207-fdcc146c7c8a,1,House,420000,8,19,2,Established,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,2019-06-09 16:22:09,
"8 Webb Alley
Jacksonborough, NT, 9811",2019-06-09 16:22:09,a6a18e08-5621-4ec2-9bd8-1d2b14d9b3c9,1,House,480000,4,2,9,Established,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,2019-06-09 16:22:09,
"Level 1
 92 Wright Walk
South Tanyaborough, QLD, 2050",2019-06-09 16:22:09,47a8981a-b70f-4fd3-97c7-5d2592eb442c,1,Villa,565000,2,6,4,New,0,0,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,2019-06-09 16:22:09,
"697 /
 63 Lawrence Gardens
North Jennifer, TAS, 2665",2019-06-09 16:22:09,99789765-d296-460e-8007-d28fb19c4073,1,Townhouse,220000,6,15,4,New,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,2019-06-09 16:22:09,
"88 /
 3 Chloe Mews
Martinezfurt, TAS, 5484",2019-06-09 16:22:09,e4ea0d5a-47e9-4357-ac62-cfbce7ff09b6,1,House,930000,18,15,3,Established,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,2019-06-09 16:22:09,
"905 Angelica Landing
Port Jennifer, NT, 2942",2019-06-09 16:22:09,919ca399-c81b-4f1c-a883-b9a8f8bfaed2,1,Acreage,835000,13,11,5,Established,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,2019-06-09 16:22:09,
"69 /
 13 Wilkerson Towers
Jenniferview, ACT, 2619",2019-06-09 16:22:09,e45c856a-e13a-42db-a474-cab22a215ff4,1,Townhouse,240000,16,10,4,New,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,0,1,1,2019-06-09 16:22:09,
"28 Tanya Anchorage
North Willie, NSW, 0872",2019-06-09 16:22:09,645c0a18-8eb3-4f9d-bee6-84b486320498,1,Apartment_Unit,715000,14,6,5,New,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,1,1,2019-06-09 16:22:09,
"32 Anderson Thoroughfare
Jeremiahberg, WA, 2923",2019-06-09 16:22:09,ea893190-b8ed-4457-aaf4-87b555553ca1,1,Acreage,310000,13,13,2,New,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,2019-06-09 16:22:09,
"7 Riley Plaza
East Daniellehaven, QLD, 0935",2019-06-09 16:22:09,c8384e44-1b49-4acb-9a0e-9e59744e43c4,1,Villa,700000,17,1,7,New,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,2019-06-09 16:22:09,
"1 /
 0 Black Byway
New Michaelstad, TAS, 2600",2019-06-09 16:22:09,51c94e9c-b630-4b2f-8ee0-92f448f2deb3,1,Villa,330000,4,6,2,Established,1,0,1,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,1,1,0,0,2019-06-09 16:22:09,
"314 /
 031 Miller Roads
Derekville, ACT, 2316",2019-06-09 16:22:09,88424a0c-859d-42b9-9630-76dd014c00d3,1,Townhouse,190000,15,17,6,Established,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,2019-06-09 16:22:09,
"1 /
 2 Brown Centre
Alexandermouth, NSW, 2266",2019-06-09 16:22:09,d4449c85-e37d-4b00-a48e-ae143f9e5067,1,House,415000,16,3,3,New,1,1,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2019-06-09 16:22:09,
"445 /
 943 Anthony Copse
Dustinbury, VIC, 9750",2019-06-09 16:22:09,b92480fb-120d-44b4-ac45-a64e6eaadfd9,1,Land,640000,8,6,6,New,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,2019-06-09 16:22:09,
"3 /
 44 Bryan Lane
South Ann, QLD, 2226",2019-06-09 16:22:09,b100e672-aa7d-48b9-a2ec-126cdb29b975,1,Block Of Units,390000,3,1,3,New,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,1,1,1,2019-06-09 16:22:09,
"Flat 14
 7 Hogan Estate
Thomasport, ACT, 2912",2019-06-09 16:22:09,01f08970-8422-4dad-80ef-e28c355d750f,1,Townhouse,205000,1,15,7,New,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,1,2019-06-09 16:22:09,
"362 James Lookout
Jamestown, ACT, 0863",2019-06-09 16:22:09,9054e2e5-ab9a-4d93-baa9-964893e947be,1,Retirement Living,815000,13,7,2,Established,1,0,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0,1,2019-06-09 16:22:09,
"280 Brown Ring
Port Dawn, WA, 2648",2019-06-09 16:22:09,6346d8d7-a601-433f-adea-3b0764452cd3,1,Land,335000,5,5,7,Established,1,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,2019-06-09 16:22:09,
"Apt. 002
 132 Chase Approach
Roberttown, NT, 2391",2019-06-09 16:22:09,ff5dc068-99ae-487b-a8a9-f85f831cf0cb,1,Townhouse,130000,14,16,4,Established,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,2019-06-09 16:22:09,
"19 Powers Service Way
St. Kathryn, NT, 1892",2019-06-09 16:22:09,86f3b7a0-dfad-4169-b454-6fd8e116d92a,1,House,215000,7,12,8,Established,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,2019-06-09 16:22:09,
"Flat 76
 6 Bowers Parkway
North Jason, TAS, 8195",2019-06-09 16:22:09,174aabd3-efe1-4f3b-b326-1ed15499f865,1,Villa,845000,11,18,6,New,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,2019-06-09 16:22:09,
